"ticker","perm_id","name"
"HPE US","F9QBSZ-S-US","Hewlett Packard Enterprise Co."
"AAP US","KXFJ5F-S-US","Advance Auto Parts, Inc."
"HRB US","Q2PPS2-S-US","H&R Block, Inc."
"TDG US","QBWP5F-S-US","TransDigm Group Incorporated"
"BKNG US","CM333K-S-US","Booking Holdings Inc."
"CHRW US","NK4J5L-S-US","C.H. Robinson Worldwide, Inc."
"PGR US","HTJWJK-S-US","Progressive Corporation"
"GDDY US","XB6X7T-S-US","Godaddy, Inc. Class A"
"EXR US","PPDFM8-S-US","Extra Space Storage Inc."
"CBRE US","K3B0CT-S-US","CBRE Group, Inc. Class A"
"ENEL IM","TVSR2S-S-IT","Enel SpA"
"LPLA US","JJJB62-S-US","LPL Financial Holding"
"BA US","P8WJT7-S-US","Boeing Company"
"EVT GR","GTX447-S-DE","Evotec SE"
"NOVT US","BNL1XT-S-US","Novanta Inc"
"NTAP US","Q4ZSBS-S-US","NetApp, Inc."
"HCP US","L9XWZZ-S-US","HCP, Inc."
"MTCH US","J2YRLX-S-US","Match Group, Inc."
"ALL US","Q8DVNB-S-US","Allstate Corporation"
"MAS US","GPBWRP-S-US","Masco Corporation"
"PH US","KPL0X0-S-US","Parker-Hannifin Corporation"
"STO AU","GM6XYS-S-AU","Santos"
"VSM US","H0J0F2-S-US","Versum Materials, Inc"
"RTN US","G6L6W5-S-US","Raytheon Company"
"ESS US","LG8VCM-S-US","Essex Property Trust, Inc."
"GVC LN","WC835J-S-GB","GVC Holdings PLC"
"WRK US","JWHK2C-S-US","WestRock Company"
"NUE US","V3LF0L-S-US","Nucor Corporation"
"PYPL US","NGRNZY-S-US","PayPal Holdings Inc"
"VNA GR","B6LPK8-S-DE","Vonovia SE"
"DHR US","NK1C4M-S-US","Danaher Corporation"
"CTXS US","JBFJ2W-S-US","Citrix Systems, Inc."
"GPN US","VK6XV3-S-US","Global Payments Inc."
"VLO US","DWW3RQ-S-US","Valero Energy Corporation"
"CPSI US","MVGS05-S-US","Computershare Limited"
"ARE US","L9WQRW-S-US","Alexandria Real Estate Equities, Inc."
"XEC US","J9BBXT-S-US","Cimarex Energy Co."
"UBI FP","GX5B03-S-FR","Ubisoft Entertainment"
"TWOU US","LK2SPQ-S-US","2u, Inc."
"3382 JP","V4THNB-S-JP","Seven & I Holdings Co"
"VRTX US","RCKMZZ-S-US","Vertex Pharmaceuticals Incorporated"
"VRSN US","HMWNB3-S-US","VeriSign, Inc."
"1997 HK","W1BKX5-S-HK","Wharf Real Estate Inv"
"NKE US","WK0NR3-S-US","NIKE, Inc. Class B"
"MS US","RWHXPV-S-US","Morgan Stanley"
"AMAT US","QR4XC8-S-US","Applied Materials, Inc."
"FAST US","D1QS87-S-US","Fastenal Company"
"MNDI LN","JDTQMJ-S-GB","Mondi plc"
"SOON SW","B9366V-S-CH","Sonova Holding AG"
"IIVI US","NB68NL-S-US","Ii-vi Incorporated"
"NXPI US","RXS7PR-S-US","Nxp Semiconductors Nv"
"AVGO US","MDX5ZL-S-US","Broadcom Inc."
"SHEN US","H2YXJN-S-US","Shenandoah Telecommun"
"TEL US","HVRY7D-S-US","TE Connectivity Ltd."
"VFC US","KCCH5Y-S-US","V.F. Corporation"
"BXP US","HWYFQJ-S-US","Boston Properties, Inc."
"COO US","P45KD7-S-US","Cooper Companies, Inc."
"ACS SM","HY35X2-S-ES","Actividades de Constr"
"CACI US","F97122-S-US","Caci International In"
"ETN US","KZJCW9-S-US","Eaton Corp. Plc"
"ALK US","FLFZFF-S-US","Alaska Air Group, Inc."
"EXO IM","TCWS07-S-IT","EXOR N.V."
"AVB US","GX5W1M-S-US","AvalonBay Communities, Inc."
"DSY FP","J1HN11-S-FR","Dassault Systemes SA"
"HPQ US","V601BM-S-US","HP Inc."
"NEE US","VLCR4Q-S-US","NextEra Energy, Inc."
"UPM FH","JCRJFH-S-FI","UPM-Kymmene Oyj"
"RE US","W6N2D9-S-US","Everest Re Group, Ltd."
"KSS US","K7VKFQ-S-US","Kohl's Corporation"
"EQIX US","JPYYTB-S-US","Equinix, Inc."
"MRO US","NCHX4Q-S-US","Marathon Oil Corporation"
"STMN SW","VNS64L-S-CH","Straumann Holding AG"
"HUBS US","BZ9C22-S-US","Hubspot, Inc."
"6758 JP","S5FBX8-S-JP","Sony Corporation"
"CCOI US","C37X9L-S-US","Cogent Communications"
"DRE US","JWHCR6-S-US","Duke Realty Corporation"
"NESN SW","H7CWS6-S-CH","Nestle S.A."
"WEX US","P7N3J5-S-US","Wex Inc."
"BAC US","Q3TRMZ-S-US","Bank of America Corp"
"SIRI US","SPBLN5-S-US","Sirius Xm Holdings, I"
"WEC US","C8QZP6-S-US","WEC Energy Group Inc"
"NRZ US","BGQ998-S-US","New Relic, Inc."
"XOM US","HP44R7-S-US","Exxon Mobil Corporation"
"TFX US","T6776H-S-US","Teleflex Incorporated"
"IPGP US","FJ33G1-S-US","IPG Photonics Corporation"
"RJF US","QVJYPV-S-US","Raymond James Financial, Inc."
"TMHC US","C2H8CK-S-US","Taylor Morrison Home"
"TPR US","MYWCD8-S-US","Tapestry, Inc."
"LTHM US","NKYH18-S-US","Livent Corporation"
"IBKC US","Q3TXZ4-S-US","IBERIABANK Corporation"
"IT US","SPBJJ3-S-US","Gartner, Inc."
"BLK US","PB11JK-S-US","BlackRock, Inc."
"CTL US","DKNL1N-S-US","CenturyLink, Inc."
"TSN US","H0KFGR-S-US","Tyson Foods, Inc. Class A"
"XRAY US","SC30Z4-S-US","DENTSPLY SIRONA, Inc."
"DOV US","VXR79F-S-US","Dover Corporation"
"BWA US","D4ZW23-S-US","BorgWarner Inc."
"TXT US","DMY7TZ-S-US","Textron Inc."
"UNM US","WDC30F-S-US","Unum Group"
"WYNN US","H6CGVQ-S-US","Wynn Resorts, Limited"
"DHI US","VVFQYB-S-US","D.R. Horton, Inc."
"MRK GR","THFNLC-S-DE","Merck KGaA"
"HOLX US","RDLR73-S-US","Hologic, Inc."
"RO SW","MR5M59-S-CH","Roche Holding AG"
"DXS AU","GPK0FF-S-AU","Dexus"
"OMC US","L41WW5-S-US","Omnicom Group Inc"
"EXPD US","X42FBF-S-US","Expeditors International of Washington, Inc."
"PFG US","FJ0FBJ-S-US","Principal Financial Group, Inc."
"IAC US","TD1RHX-S-US","Iac/interactivecorp."
"XEL US","JMNHJ8-S-US","Xcel Energy Inc."
"ABMD US","DF3N8D-S-US","ABIOMED, Inc."
"IR US","M6459C-S-US","Ingersoll-Rand Plc"
"PX US","NB64DG-S-US","Linde plc"
"AON US","H9T6DW-S-US","Aon plc"
"DOX US","SKY5L7-S-US","Amdocs Limited"
"MET US","NV2X6X-S-US","MetLife, Inc."
"MONC IM","FZXPLZ-S-IT","Moncler SpA"
"EIX US","N03TRC-S-US","Edison International"
"SBGI US","KPFMHW-S-US","Sinclair Broadcast Gr"
"MCHP US","SY92RH-S-US","Microchip Technology Incorporated"
"RSG US","KYDC2F-S-US","Republic Services, Inc."
"CTSH US","RLF8JJ-S-US","Cognizant Technology Solutions Corporation Class A"
"SWKS US","XKV56X-S-US","Skyworks Solutions, Inc."
"TWTR US","GV451B-S-US","Twitter, Inc."
"AME US","D7DHD4-S-US","AMETEK, Inc."
"ADI US","P0X865-S-US","Analog Devices, Inc."
"SWEDA SS","RQT3M0-S-SE","Swedbank AB Class A"
"SYF US","DFHD4X-S-US","Synchrony Financial"
"PEGA US","NT38T5-S-US","Pegasystems Inc."
"8001 JP","NPQ48H-S-JP","Itochu Corporation"
"TDS US","LKQGQP-S-US","Telephone And Data Sy"
"GPS US","T0NLZH-S-US","Gap, Inc."
"TEAM US","DM5J37-S-US","Atlassian Corp. Plc C"
"FL US","B82TCD-S-US","Foot Locker, Inc."
"URI US","SRQ728-S-US","United Rentals, Inc."
"TD CN","RFQ4VD-S-CA","Toronto-Dominion Bank"
"PHM US","VFZRT3-S-US","PulteGroup, Inc."
"ULTI US","P9WP6G-S-US","Ultimate Software Gro"
"XYL US","Q5V0CD-S-US","Xylem Inc."
"CCL LN","GC8TKT-S-GB","Carnival Corporation"
"PSX US","SP70YY-S-US","Phillips 66"
"ICE US","H6GV8W-S-US","Intercontinental Exchange, Inc."
"PEG US","DXV63Y-S-US","Public Service Enterprise Group Inc"
"ANET US","JBVNSV-S-US","Arista Networks, Inc."
"WBA US","QSFJYG-S-US","Walgreens Boots Alliance Inc"
"IART US","D68983-S-US","Integrated Device Tec"
"MSCI US","TP36J7-S-US","MSCI Inc. Class A"
"UPS US","C6M0W9-S-US","United Parcel Service, Inc. Class B"
"DOCU US","TS020P-S-US","Docusign, Inc."
"AMP SM","H1Q8VD-S-ES","Amper, S.A."
"RP US","GHZF8G-S-US","Realpage, Inc."
"SJM US","W0Z2R4-S-US","J.M. Smucker Company"
